ITEM_DESCRIPTION	CATEGORY	SUPPLIER
Corner cove Left	Furniture and Furnishings	Allsteel Inc
"ONIONS, YELLOW DRY"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Madison Chair w/headrest	Furniture and Furnishings	3B INDUSTRIES INC
booklet envelope	"Office Equipment, Accessories and Supplies"	Response Envelope
"Juices - apple, grape, orange, etc."	Food Beverage and Tobacco Products	US FOODSERVICE
"BEANS, YELLOW WAXED"	Food Beverage and Tobacco Products	CSV Sales Inc.
"ONIONS, RED DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
TABLES FOR DINING ROOM	Furniture and Furnishings	"VARIOUS VENTURES, INC"
STANDARD ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
"POPCORN, CHEESE,CAKE, PIE"	Food Beverage and Tobacco Products	US Foodservice
EASELS AND PAPER PAD LOT	"Office Equipment, Accessories and Supplies"	THE OFFICE CITY
Rectangular training table 24x60	Furniture and Furnishings	Western Contract Furnishers
fresh fruits & veggies	Food Beverage and Tobacco Products	HDR DISTRIBUTING CO.
Invoice Batching	Food Beverage and Tobacco Products	US Foodservice
invoice batching	Food Beverage and Tobacco Products	US Foodservice
"FISH STIC, POLLACK"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
fish frozen breaded	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"Madison Jr Chair, Black"	Furniture and Furnishings	Prison Industry Authority
mushrooms sliced	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"WITH HEADREST, EBONY"	Furniture and Furnishings	3B INDUSTRIES INC
Tot Mini Stapler	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Unsweetened, 70/4oz/cs"	Food Beverage and Tobacco Products	Seacat Enterprises
"OD, Stapler Remover, Jaw Style"	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"Cucumbers Sliced, 5# bag"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
ice and water for firefighting personnel	Food Beverage and Tobacco Products	Sysco - Sacramento
"Milk, nonfat & chocolate"	Food Beverage and Tobacco Products	Prison Industry Authority
"Pinto, Dry Bean (60 bags)"	Food Beverage and Tobacco Products	INTERSECT USA
"FISH, RAW, NON-BREADED"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
bean pinto dry 50lb/bg	Food Beverage and Tobacco Products	INTERSECT USA
"APPLES, 125 PER CASE"	Food Beverage and Tobacco Products	Coast Tropical
SAN BERNARDINO CDL RELOCATING TO FONTANA CDL	Furniture and Furnishings	Prison Industry Authority
Custom Name Stamp	"Office Equipment, Accessories and Supplies"	Cole Office Products
Binder Bulldog clips; Medium.	"Office Equipment, Accessories and Supplies"	SUPPLY NETWORK
CUSTOM WINDOW ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
green bell pepper	Food Beverage and Tobacco Products	Sysco
Dry erase markers	"Office Equipment, Accessories and Supplies"	River City Office Supply
Bread wheat thin sliced	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
miscellaneous food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
rations food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
mechanical pencil	"Office Equipment, Accessories and Supplies"	BLAISDELL'S BUSINESS PRODUCTS
fresh fruit and vegetables	Food Beverage and Tobacco Products	"rdk distributing co., llc"
"coffee, instant spraydried 1.5G"	Food Beverage and Tobacco Products	Prison Industry Authority
food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
Sharp digital copier/scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Right Side Exit Tray (for       incoming faxes)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
CUSTOME WINDOW ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
"salad mix, precut 20lb/cs"	Food Beverage and Tobacco Products	Bonanza Produce
#9 Tall Return Envelope	"Office Equipment, Accessories and Supplies"	Paper Distributors Inc
Paper Weight 6X6 PK 500	"Office Equipment, Accessories and Supplies"	SCHANTIN INSURANCE SERVICES
#10 Pre-Printed Windowed Envelopes	"Office Equipment, Accessories and Supplies"	River City Office Supply
"Folder, Rein 1/3ct, Mla LTR"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"3M Fastener Hook, S001 White, 5/8"" x 50 yd."	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
"POTATOES, SIZE A US NO 1"	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
STANDARD ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
manila booklet envelope	"Office Equipment, Accessories and Supplies"	Response Envelope
"BEETS, SLICED PICKELED"	Food Beverage and Tobacco Products	Highland Wholesale Foods Inc
rations food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
"RICE, BROWN MEDIUM GRAIN"	Food Beverage and Tobacco Products	ABC Ventures LLC
"beef flavor, total of 5 cases"	Food Beverage and Tobacco Products	Adolph Inc.
Modular Systems Furniture	Furniture and Furnishings	Allsteel Inc
CD/DVD DUPLICATOR AND WARRANTY FOR 5 YEARS	"Office Equipment, Accessories and Supplies"	RIMAGE CORPORATION
APC Metered Rack PDU Zero U #AP7830	Furniture and Furnishings	"Statestore, Inc"
"12 - V-FILE, 6-HI, LTR, N/DR, SND"	Furniture and Furnishings	Prison Industry Authority
Product No. 682700.0209.  Chair for Thuy Pham	Furniture and Furnishings	3B INDUSTRIES INC
Wall Unit  SWG   (24 x 30 x 12)  3/4	Furniture and Furnishings	SCHANTIN INSURANCE SERVICES
Mechanical Pencils	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"INKCART, 951 TRI COMBO"	"Office Equipment, Accessories and Supplies"	River City Office Supply
YELLOW DRY ONIONS	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Pacifica Nesting Chair-Arms	Furniture and Furnishings	3B INDUSTRIES INC
DESKTOP TAPE DISPENSER	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
EGGS FROZEN 30 LB PAIL  665 PAILS	Food Beverage and Tobacco Products	3B INDUSTRIES INC
HP Magenta Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
FOLDER MANILA STR END CUT  SMD 24100	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
"stainless steel, Upper Right #2"	"Sports, Recreational Equipment and Supplies and Accessories"	"Dental Health Products, Inc."
coleslaw pre-cut 20lb/cs	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
apples US#1 163ct/cs	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
water microfilter	"Sports, Recreational Equipment and Supplies and Accessories"	BACKCOUNTRY.COM
"FISH, POLLOCK RAW N/B"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"PENCIL,MECH,0.7MM,BLK"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
modular furniture	Furniture and Furnishings	Western Contract Furnishers
Twenty (20) Xerox BR 4110-1 SD YLD Black Toner	"Office Equipment, Accessories and Supplies"	T3 Toner LLC
Q7583A - Magenta Toner Cartridge	"Office Equipment, Accessories and Supplies"	Midtown Stationers
rations food for camp inmates	Food Beverage and Tobacco Products	US FOODSERVICE
"POOL TABLE, 8' SLATE, WITH POCKETS"	Furniture and Furnishings	Quartermaster
No.11 Cyan Printhead C4811A	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Dietary Supplies	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
food for inmate camps	Food Beverage and Tobacco Products	US Foodservice
"MARKER, PERM CHSL, RG, BK"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"ONIONS, GREEN DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"CALENDAR,REFILL,SIDE OPEN,3-5/8"" X 6"""	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
CUSTOM WINDOW ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
"WHEAT BREAD, SLICED LOAF  #240000.0010"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Staples for FN21 Finisher	"Office Equipment, Accessories and Supplies"	Sharp Business Systems
bread products for fire camps	Food Beverage and Tobacco Products	Earthgrains Baking company
STANDARD ENVELOPE	"Office Equipment, Accessories and Supplies"	Response Envelope
4TH QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Prison Industry Authority
Key Switch Stand	Furniture and Furnishings	Best Source Distributing
"CLIP,BINDER,5/8"" CAP,MED"	"Office Equipment, Accessories and Supplies"	Walker's Office Supplies
Samsung MLT-D309S/XAA Toner	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
4TH QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Earthgrains Baking company
FOOD FOR INMATE CAMPS	Food Beverage and Tobacco Products	US Foodservice
Boston Chair with out Headrest	Furniture and Furnishings	Prison Industry Authority
50-sheet stapler/finisher #MX-FN15	"Office Equipment, Accessories and Supplies"	Sharp Business Systems
4TH QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Seacat Enterprises
"Dry suits used for stream, lake and river surveys"	"Sports, Recreational Equipment and Supplies and Accessories"	USIA Corp
ACCO Medium Binder Clips	"Office Equipment, Accessories and Supplies"	"Horizon Business Solutions, Inc."
food for inmate camps	Food Beverage and Tobacco Products	US Foodservice
Eight-Foot Picnic Table (ADA)	Furniture and Furnishings	sonoma county probation camp
#10 Window Envelopes	"Office Equipment, Accessories and Supplies"	River City Office Supply
IT Storage System	Furniture and Furnishings	KOVARUS TECHNOLOGY SOLUTIONS
"CHAIR,BOSTON,W/HEADREST"	Furniture and Furnishings	3B INDUSTRIES INC
1ST QUARTER FOOD ORDERS FY 2014/2015	Food Beverage and Tobacco Products	Prison Industry Authority
postage meters-sales tax	"Office Equipment, Accessories and Supplies"	Pitney Bowes
"bridge unit 5000,#404111"	"Office Equipment, Accessories and Supplies"	Ricoh Americas Corporation
"cooling fan unit type 5000,#404170"	"Office Equipment, Accessories and Supplies"	Ricoh Americas Corporation
Economy Counting Scale	"Office Equipment, Accessories and Supplies"	Office Pro
"Zucchini, sliced"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Conference Tables	Furniture and Furnishings	Prison Industry Authority
food for inmate camps	Food Beverage and Tobacco Products	US Foodservice
Key Switch Stand	Furniture and Furnishings	Best Source Distributing
2nd Quarter Food 9/01/12 THRU 12/31/12	Food Beverage and Tobacco Products	US Foodservice
WD3003FZEZ Western Digitial 3-TB	"Office Equipment, Accessories and Supplies"	"Ablegov, Inc."
"Bananas, Melon, Cabbage, Onions, and Cole slaw"	Food Beverage and Tobacco Products	HDR DISTRIBUTING CO.
Electric Sit-to-Stand Ergo Table	Furniture and Furnishings	Prison Industry Authority
food for inmate camps	Food Beverage and Tobacco Products	US Foodservice
HP 12A Dual Pack	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"SCISSORS 8"" SOFT GRIP"	"Office Equipment, Accessories and Supplies"	Grainger Industrial Supply
"MARKER, HIGHLIGHTER, DESK, YS1034"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
no cholesterol egg product	Food Beverage and Tobacco Products	Prison Industry Authority
Network Scanner Expansion	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
"Chair, Manhattan, mid-back, ebony, fabric"	Furniture and Furnishings	3B INDUSTRIES INC
Copier Maintenance Service	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
samsung SCX 5635 toner	"Office Equipment, Accessories and Supplies"	"Central Valley Office Supply, Inc."
"PEN,RB,MICRO,UNI 207,BE"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
"FRESH, MEDIUM, CHICKEN IN SHELL USDA GRADE AA"	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
Rental Decorations	"Sports, Recreational Equipment and Supplies and Accessories"	"R.W.B Party Props, Inc."
"FOLDER, MLA,FSTNR,LTR"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
Postage by Phone replenish	"Office Equipment, Accessories and Supplies"	Pitney Bowes
Prepaid postage usage.	"Office Equipment, Accessories and Supplies"	neopost
"FLDR, DIV, SIDETAB, DIV ST, LTR"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"Magenta drum, 30,000 yield #CLX-R8540M"	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
Dry Bakery Mixes	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
Breakfast Sausage	Food Beverage and Tobacco Products	Prison Industry Authority
ASST BEANS 7350.00	Food Beverage and Tobacco Products	INTERSECT USA
Manhattan Mid Back Chair	Furniture and Furnishings	3B INDUSTRIES INC
Hydration Supplies for going fire	Food Beverage and Tobacco Products	Maintenance Supply
Office Furniture	Furniture and Furnishings	Prison Industry Authority
HP 90 A Black Toner	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"enchilada sauce, tomato paste, marinara sauce"	Food Beverage and Tobacco Products	BUONA FORTUNA FOODS LLC.
"tortilla, corn 51/2"" frozen"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
shredding and recycling AB 60	"Office Equipment, Accessories and Supplies"	SHRED-IT USA LLC
SAN BERNARDINO CDL RELOCATING TO FONTANA CDL	Furniture and Furnishings	Prison Industry Authority
"STAPLES,CHSEL,PT,25TH/PK"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
sheet protectors	"Office Equipment, Accessories and Supplies"	Lowmarkup Inc
Batter Dipped Cod or Pollock Pre-Cooked 4oz.	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
FOOD FOR INMATE FIRE CAMPS	Food Beverage and Tobacco Products	Earthgrains Baking company
ORANGE JUICE CONCENTRATE	Food Beverage and Tobacco Products	Ludfords Inc.
"Spinach, Chopped"	Food Beverage and Tobacco Products	Food Service Systems Inc
Frozen Vegetables	Food Beverage and Tobacco Products	Food Service Systems Inc
Batching invoices for payment.	Food Beverage and Tobacco Products	US Foodservice
Magenta Ink Cartridge	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
Heavy Duty Electric Stapler Value Pack	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"Chair, Madison, without headrest"	Furniture and Furnishings	Prison Industry Authority
"EGGS no chol, no fat"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"RUBBERBAND,SIZ#117B,AMB"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
FOOD FOR INMATE FIRE CAMPS	Food Beverage and Tobacco Products	US Foodservice
Workstations-Dell Precision	Furniture and Furnishings	PC Specialist Inc dba TIG (Technology Integration Group)
food for inmate fire camps	Food Beverage and Tobacco Products	US Foodservice
Ergonomics Chairs	Furniture and Furnishings	Southern California Ergonomics
"REFILL,PROFILE RT,2/PK,BE"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
"Parmesan Cheese, Grated"	Food Beverage and Tobacco Products	Seacat Enterprises
"Spinach, Chopped"	Food Beverage and Tobacco Products	Food Service Systems Inc
CIRCULAR FEEDING TABLES	Furniture and Furnishings	Totall Tuff Furniture
"Cheese, shredded"	Food Beverage and Tobacco Products	US Foodservice
"ERASER, MAGIC RUB, 3PK, WE"	"Office Equipment, Accessories and Supplies"	River City Office Supply
"~HILIGHTER,POCKET,YL"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
Small Paper Clips	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"36""x14""x30"" Heavy Duty Shop Cabinets"	Furniture and Furnishings	MSC INDUSTRIAL SUPPL
"~MARKER,PERM,CHSL,RG,BK"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
"BINDER,PRESSBOARD,8-1/2"" X 11"",BLK"	"Office Equipment, Accessories and Supplies"	Office Pro
Blanket Purchase - Misc. Food	Food Beverage and Tobacco Products	US Foodservice
Batching invoices	Food Beverage and Tobacco Products	US Foodservice
Boston chair with headrest	Furniture and Furnishings	3B INDUSTRIES INC
apples red or green	Food Beverage and Tobacco Products	"Superior Produce, Inc."
peanut butter 2 oz	Food Beverage and Tobacco Products	Prison Industry Authority
"Almonds, Natural Sliced bulk"	Food Beverage and Tobacco Products	Prison Industry Authority
bulk bags and single serving	Food Beverage and Tobacco Products	Prison Industry Authority
CEREAL/BULK GRAIN	Food Beverage and Tobacco Products	Adolph Inc.
Invoice batching	Food Beverage and Tobacco Products	US Foodservice
"Credenza, Premier"	Furniture and Furnishings	3B INDUSTRIES INC
onion dry yelllow	Food Beverage and Tobacco Products	HDR DISTRIBUTING CO.
invoice batching	Food Beverage and Tobacco Products	US Foodservice
Invoice Batching	Food Beverage and Tobacco Products	US Foodservice
COFFEE 3/10LB/CS	Food Beverage and Tobacco Products	Prison Industry Authority
"INK CARTRIDGE,PRINTER,MGNTA,HP #CE273A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"folding tables 60' wide x 30"" deep"	Furniture and Furnishings	Merritt Business Supplies
Postage Tape Sheets	"Office Equipment, Accessories and Supplies"	Pitney Bowes
Red Ink Cartridge -DM200L	"Office Equipment, Accessories and Supplies"	Pitney Bowes
BUFFALO BLEU CHEESE TORNADOS	Food Beverage and Tobacco Products	"Global Foods, Inc."
Consultant Services	Furniture and Furnishings	Unknown
Inview Subscription	"Office Equipment, Accessories and Supplies"	PITNEY BOWES
Bell Pepper red whole	Food Beverage and Tobacco Products	"Superior Produce, Inc."
CHICKEN BREAST FILET ZESTY HERB	Food Beverage and Tobacco Products	Prison Industry Authority
"REFILL,BPT,RET,MED,BE,2PK"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
CEREAL HOMINY GRITS	Food Beverage and Tobacco Products	Adolph Inc.
BASKETBALL HEAVY DUTY NET	"Sports, Recreational Equipment and Supplies and Accessories"	BSN Sports
CEREAL ROLLED OATS	Food Beverage and Tobacco Products	Adolph Inc.
BANANA CHIPS IND	Food Beverage and Tobacco Products	"G & P Group, Inc."
coleslaw precut 20lb/cs	Food Beverage and Tobacco Products	PRO PACIFIC FRESH
Invoice Batching	Food Beverage and Tobacco Products	US Foodservice
RFM Internet Executive High Back Chair	Furniture and Furnishings	Unknown
Invoice Batching	Food Beverage and Tobacco Products	US Foodservice
"Set-in-Place Fee, Stacking Chair"	Furniture and Furnishings	Prison Industry Authority
Boston Chair with headrest	Furniture and Furnishings	Unknown
peas55#(d39)50445400	Food Beverage and Tobacco Products	Food Service Systems Inc
Blanket PO for Groceries	Food Beverage and Tobacco Products	US Foodservice
Manhattan Mid Back Lite Chair - Ebony	Furniture and Furnishings	Unknown
Invoice batching	Food Beverage and Tobacco Products	US Foodservice
replace existing cabinets	Furniture and Furnishings	Unknown
"CINNAMON ROLL, IND. WRAPPED"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
2ND QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
FIRETIME LUNCH'S	Food Beverage and Tobacco Products	FOOTHILL QUALITY FOODS
"Staple Remover, Ultimate"	"Office Equipment, Accessories and Supplies"	National Office Solutions
prime vendor blanket order	Food Beverage and Tobacco Products	US Food Service
"Chair, Manhattan Mid Back, Midnight"	Furniture and Furnishings	Prison Industry Authority
"Chair, Manhattan Lite, Royal"	Furniture and Furnishings	Prison Industry Authority
"MARKER,PERM,CHSL,RG,BK"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
INDUSTRY OPERATIONS RELOCATION	Furniture and Furnishings	Prison Industry Authority
Frozen green bean	Food Beverage and Tobacco Products	Food Service Systems Inc
kosher breakfast	Food Beverage and Tobacco Products	Elements Food Group
Office Furniture	Furniture and Furnishings	3B INDUSTRIES INC
REPLENISH STOCK FOR OPERATIONAL NEEDS	"Office Equipment, Accessories and Supplies"	Technology Integration Group
assembly and Installation	Furniture and Furnishings	Allsteel Inc
Sharp Copiers - 2	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Magenta Cartridge for LaserJet CP4025/4525 8.5K	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"TONER, MAGENTA, HP C9733A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Delta 5542,  10-drawer flat file, medium grey"	Furniture and Furnishings	Steel Fixture MFG
"PENCIL, MECH, ICY, .5MM, BE"	"Office Equipment, Accessories and Supplies"	River City Office Supply
100% Whole Wheat Bread	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"Fish, Sticks    Pollock    4 oz  10#/case"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"pens, fine point"	"Office Equipment, Accessories and Supplies"	Value Business Products
S-40 PORTABLE TABLES	Furniture and Furnishings	Toms Equipment Rental
CARTRIDGE HP LASER JET P1006 CB435A	"Office Equipment, Accessories and Supplies"	Technology Integration Group
SOY BASED SPAGHETTI	Food Beverage and Tobacco Products	KD Foods
Buttermilk Biscuit Mix	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
"REMOVER,STAPLE,JAWST,3,BK"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
INDIVIDUAL GRAHAM CRACKERS	Food Beverage and Tobacco Products	ABC Ventures LLC
Haworth modular workstation (parts)	Furniture and Furnishings	Western Contract Furnishers
"PRINTHEAD,BLK/YLW,HP #940"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"HILIGHTER,DESK,FBE"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Universal Meduim Point Ballpoint Pens, 12Black/Bx"	"Office Equipment, Accessories and Supplies"	"Horizon Business Solutions, Inc."
Dry Erase Markers	"Office Equipment, Accessories and Supplies"	National Office Solutions
"ENVELOPE, EXP,9X12X2,KFT"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
HP 42XD Dual Pack	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Open office panel systems	Furniture and Furnishings	Allsteel Inc
FOLSOM OFFICE RENOVATION	Furniture and Furnishings	Prison Industry Authority
"FLDR, LTR, FAST, BE"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
CHORIZO BREAKFAST POCKET	Food Beverage and Tobacco Products	The Spaulding Company
potato dehydr instant	Food Beverage and Tobacco Products	Adolph Inc.
"bread   whole wheat, hamburger buns"	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
"~~FASTENER,BRASS,1"",RND HD"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"ONIONS, YELLOW DRY"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"STAPLER,ELEC, PORTABLE,BK"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
"Chair, Manhattan Mid Back Lite, Marine"	Furniture and Furnishings	Prison Industry Authority
"Envelopes. custom catalog, 10x12, standard"	"Office Equipment, Accessories and Supplies"	Merritt communications inc
Various types of cheese	Food Beverage and Tobacco Products	Seacat Enterprises
"onions, yellow dry"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
OPERATIONAL NEEDS	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Onion, green, diced"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Kosher everyday meals, 21 day menu"	Food Beverage and Tobacco Products	ABC Ventures LLC
COPIER MAINTENANCE FY 15/16	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"staples, stapler, hole punch"	"Office Equipment, Accessories and Supplies"	"Office Supply Company, Inc."
FOLDING EASEL 23-1/2 X 35 1/2	"Office Equipment, Accessories and Supplies"	Grainger Industrial Supply
Corner Workstation Electric	Furniture and Furnishings	3B INDUSTRIES INC
english muffins 1dz per/pkg	Food Beverage and Tobacco Products	Earthgrains/Sara Lee
Correctional Tape 10/pk	"Office Equipment, Accessories and Supplies"	THE OFFICE CITY
SHARP LOW VOLUME MAINTENANCE NON-TAXABLE	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Manhatten Mid Back Lite Chair, Lapis"	Furniture and Furnishings	3B INDUSTRIES INC
"LP-0600, LARGE, HEAVY DUTY"	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"Boston Chair w/o headrest, ebony"	Furniture and Furnishings	3B INDUSTRIES INC
"TBL, END, VNGD, 24X18X20, E.MHG"	Furniture and Furnishings	3B INDUSTRIES INC
Attenda Nightstand	Furniture and Furnishings	GARRISON MANUFACTURING INC
Self Inking Stamps	"Office Equipment, Accessories and Supplies"	River City Office Supply
3 tab index maker	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"LEAD,MECH PENCIL,.7MM,BLK,EA"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"cake mix, yellow"	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
"ONIONS, RED SLICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Toner Cartridge, Yellow"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Office Chairs, Binders"	Furniture and Furnishings	3B INDUSTRIES INC
Dental X-Ray Envelopes	"Office Equipment, Accessories and Supplies"	Prison Industry Authority
"Manhattan Lite Chair, Royal fabric"	Furniture and Furnishings	Prison Industry Authority
"Inmate feeding- fish, pollock, frozen  2nd quar."	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
HP 88 XL printed head Yellow-Black	"Office Equipment, Accessories and Supplies"	Eco-Depo LLC
